stat, rank, value, (percentage) 
minecraft.used.brown_bed: #4, 11(5%)
minecraft.picked_up.white_concrete_powder: #5, 13010(7%)
minecraft.mined.brown_bed: #4, 10(6%)
minecraft.mined.black_shulker_box: #5, 257(8%)
minecraft.picked_up.book: #5, 733(6%)
minecraft.mined.spawner: #4, 4(3%)
minecraft.broken.iron_hoe: #4, 1(6%)
minecraft.dropped.light_gray_terracotta: #4, 129(3%)
minecraft.crafted.cookie: #4, 256(2%)
minecraft.mined.cyan_stained_glass: #4, 176(2%)
minecraft.used.red_mushroom_block: #4, 128(3%)
minecraft.crafted.wooden_axe: #5, 3(9%)
minecraft.mined.red_carpet: #5, 164(8%)
minecraft.mined.potted_poppy: #4, 2(5%)
minecraft.custom.interact_with_beacon: #5, 83(6%)
minecraft.picked_up.brown_concrete: #5, 471(11%)
minecraft.killed.villager: #4, 28(2%)
minecraft.dropped.brown_mushroom_block: #4, 63(4%)
minecraft.killed.stray: #4, 1(6%)
minecraft.picked_up.tube_coral_fan: #4, 84(3%)
minecraft.picked_up.fire_coral_fan: #4, 81(3%)
minecraft.mined.prismarine_stairs: #4, 10(4%)
minecraft.picked_up.iron_ingot: #4, 10282(1%)
minecraft.picked_up.string: #5, 2273(5%)
minecraft.mined.oak_sign: #5, 48(5%)
minecraft.picked_up.item_frame: #5, 359(5%)
minecraft.mined.brown_mushroom: #5, 89(6%)
minecraft.crafted.red_dye: #5, 2430(6%)
minecraft.picked_up.horn_coral_fan: #4, 68(2%)
minecraft.picked_up.stripped_acacia_log: #4, 47(2%)
minecraft.picked_up.bubble_coral: #4, 10(2%)
minecraft.custom.damage_dealt: #6, 1343911(6%)
minecraft.picked_up.gunpowder: #6, 2228(8%)
minecraft.crafted.fermented_spider_eye: #5, 42(8%)
minecraft.used.prismarine_stairs: #4, 26(3%)
minecraft.dropped.bone: #5, 1013(5%)
minecraft.mined.melon_stem: #4, 5(2%)
minecraft.picked_up.music_disc_strad: #4, 3(3%)
minecraft.dropped.sugar_cane: #5, 851(6%)
minecraft.picked_up.cooked_chicken: #6, 1151(8%)
minecraft.dropped.light_blue_wool: #4, 2(1%)
minecraft.dropped.beetroot: #4, 2(2%)
minecraft.mined.cyan_stained_glass_pane: #5, 24(10%)
minecraft.mined.tube_coral_fan: #4, 7(1%)
minecraft.dropped.dark_oak_pressure_plate: #4, 1(1%)
minecraft.crafted.black_wool: #5, 172(6%)
minecraft.used.cobblestone_slab: #5, 1588(5%)
minecraft.used.end_crystal: #5, 8(8%)
minecraft.picked_up.chiseled_red_sandstone: #4, 1(1%)
