stat, rank, value, (percentage) 
minecraft.picked_up.comparator: #13, 61(1%)
minecraft.picked_up.dispenser: #13, 32(1%)
minecraft.dropped.iron_ingot: #13, 169(1%)
minecraft.crafted.smooth_stone_slab: #13, 3258(1%)
minecraft.custom.interact_with_cartography_table: #13, 1(1%)
minecraft.crafted.comparator: #13, 67(1%)
minecraft.mined.light_blue_concrete: #13, 133(1%)
minecraft.picked_up.light_blue_concrete: #13, 133(1%)
minecraft.crafted.light_blue_concrete_powder: #13, 128(1%)
minecraft.dropped.egg: #13, 51(1%)
minecraft.dropped.apple: #13, 9(1%)
minecraft.dropped.brown_mushroom: #13, 5(0%)
minecraft.mined.green_carpet: #13, 2(1%)
minecraft.mined.slime_block: #13, 37(0%)
minecraft.used.stone_brick_wall: #13, 29(0%)
minecraft.used.lime_carpet: #13, 11(0%)
minecraft.mined.yellow_wool: #13, 5(0%)
minecraft.used.slime_block: #13, 37(0%)
minecraft.used.lectern: #13, 13(0%)
minecraft.mined.blast_furnace: #13, 1(0%)
minecraft.crafted.blue_stained_glass_pane: #13, 16(0%)
minecraft.picked_up.blast_furnace: #13, 1(0%)
minecraft.dropped.polished_andesite: #13, 4(0%)
minecraft.mined.birch_stairs: #13, 9(0%)
minecraft.used.birch_leaves: #13, 11(0%)
minecraft.mined.ice: #13, 170(0%)
minecraft.picked_up.light_blue_concrete_powder: #13, 4(0%)
minecraft.crafted.acacia_trapdoor: #13, 4(0%)
minecraft.picked_up.lime_concrete_powder: #13, 1(0%)
minecraft.dropped.ice: #13, 2(0%)
minecraft.used.blue_terracotta: #13, 1(0%)
minecraft.used.brick_slab: #13, 1(0%)
minecraft.picked_up.dried_kelp: #13, 12(0%)
minecraft.custom.open_chest: #14, 18236(2%)
minecraft.broken.iron_sword: #14, 1(5%)
minecraft.picked_up.minecart: #14, 145(3%)
minecraft.mined.lever: #14, 52(2%)
minecraft.crafted.ender_eye: #14, 16(2%)
minecraft.mined.redstone_wall_torch: #14, 45(2%)
minecraft.dropped.granite: #14, 1500(2%)
minecraft.crafted.white_bed: #14, 8(2%)
minecraft.picked_up.charcoal: #14, 10(2%)
minecraft.picked_up.chicken: #14, 85(2%)
minecraft.picked_up.loom: #14, 3(2%)
minecraft.crafted.writable_book: #14, 13(2%)
minecraft.picked_up.smooth_stone_slab: #14, 1040(2%)
minecraft.mined.powered_rail: #14, 155(2%)
minecraft.picked_up.stone_brick_stairs: #14, 335(1%)
minecraft.used.dispenser: #14, 53(1%)
minecraft.used.repeater: #14, 296(1%)
minecraft.mined.kelp: #14, 209(1%)
minecraft.mined.end_rod: #14, 104(1%)
minecraft.used.egg: #14, 285(1%)
minecraft.crafted.glass_bottle: #14, 66(1%)
minecraft.mined.gravel: #14, 7302(1%)
minecraft.used.cauldron: #14, 14(1%)
minecraft.picked_up.lava_bucket: #14, 3(1%)
minecraft.used.observer: #14, 228(1%)
minecraft.picked_up.gravel: #14, 6773(1%)
minecraft.mined.dropper: #14, 30(1%)
minecraft.used.stone_bricks: #14, 2978(1%)
minecraft.picked_up.jungle_boat: #14, 3(1%)
minecraft.picked_up.white_banner: #14, 21(1%)
minecraft.used.oak_fence_gate: #14, 13(1%)
minecraft.crafted.sugar: #14, 64(1%)
minecraft.crafted.powered_rail: #14, 228(1%)
minecraft.dropped.leather_chestplate: #14, 2(1%)
minecraft.crafted.stone_pressure_plate: #14, 37(1%)
minecraft.picked_up.brown_mushroom: #14, 33(1%)
minecraft.used.light_blue_concrete_powder: #14, 132(1%)
minecraft.custom.interact_with_brewingstand: #14, 62(1%)
minecraft.mined.smooth_stone: #14, 83(1%)
minecraft.mined.diamond_block: #14, 22(1%)
minecraft.custom.play_noteblock: #14, 21(0%)
minecraft.crafted.loom: #14, 2(0%)
minecraft.crafted.name_tag: #14, 3(0%)
minecraft.picked_up.slime_block: #14, 37(0%)
minecraft.picked_up.scaffolding: #14, 299(0%)
minecraft.picked_up.green_carpet: #14, 2(0%)
minecraft.crafted.hay_block: #14, 14(0%)
minecraft.crafted.birch_pressure_plate: #14, 1(0%)
minecraft.crafted.light_blue_stained_glass: #14, 80(0%)
minecraft.picked_up.birch_stairs: #14, 9(0%)
minecraft.dropped.bread: #14, 4(0%)
minecraft.dropped.cookie: #14, 3(0%)
minecraft.crafted.blue_stained_glass: #14, 16(0%)
