stat, rank, value, (percentage) 
minecraft.used.sugar_cane: #3, 4581(15%)
minecraft.picked_up.spruce_trapdoor: #2, 940(10%)
minecraft.picked_up.mossy_cobblestone_slab: #2, 35(36%)
minecraft.dropped.dark_oak_pressure_plate: #2, 29(41%)
minecraft.picked_up.oak_fence: #2, 623(10%)
minecraft.used.scaffolding: #3, 18543(17%)
minecraft.dropped.dark_oak_boat: #2, 11(17%)
minecraft.mined.andesite: #2, 33451(10%)
minecraft.picked_up.apple: #3, 875(13%)
minecraft.crafted.spruce_wood: #2, 1179(16%)
minecraft.dropped.black_wool: #2, 67(19%)
minecraft.dropped.red_carpet: #2, 75(22%)
minecraft.used.shears: #2, 25076(10%)
minecraft.crafted.lime_wool: #2, 172(24%)
minecraft.mined.orange_tulip: #3, 169(19%)
minecraft.crafted.birch_door: #2, 33(14%)
minecraft.dropped.purpur_stairs: #2, 42(22%)
minecraft.mined.mossy_cobblestone_slab: #2, 35(40%)
minecraft.dropped.nether_quartz_ore: #2, 136(24%)
minecraft.picked_up.grass: #2, 307(11%)
minecraft.picked_up.blue_ice: #3, 3215(20%)
minecraft.picked_up.red_nether_brick_stairs: #1, 54(45%)
minecraft.mined.granite: #2, 25262(9%)
minecraft.dropped.quartz_slab: #2, 187(19%)
minecraft.dropped.oak_stairs: #2, 61(23%)
minecraft.mined.spruce_planks: #2, 2427(9%)
minecraft.crafted.jungle_slab: #2, 1074(14%)
minecraft.used.white_stained_glass_pane: #3, 5272(16%)
minecraft.used.brown_shulker_box: #2, 692(13%)
minecraft.picked_up.brown_shulker_box: #2, 690(12%)
minecraft.picked_up.birch_sapling: #3, 2224(14%)
minecraft.dropped.end_stone_bricks: #2, 201(17%)
minecraft.used.packed_ice: #3, 15339(15%)
minecraft.killed.chicken: #3, 410(13%)
