stat, rank, value, (percentage) 
minecraft.mined.brown_mushroom_block: #3, 3329(5%)
minecraft.picked_up.exposed_copper: #2, 464(1%)
minecraft.used.cyan_glazed_terracotta: #3, 23(13%)
minecraft.mined.gray_shulker_box: #4, 503(9%)
minecraft.picked_up.black_glazed_terracotta: #3, 68(11%)
minecraft.picked_up.jungle_hanging_sign: #3, 7(14%)
minecraft.used.spruce_sign: #4, 524(8%)
minecraft.mined.enchanting_table: #3, 4(8%)
minecraft.used.gray_shulker_box: #4, 503(9%)
minecraft.crafted.pale_oak_sign: #3, 93(7%)
minecraft.mined.pale_hanging_moss: #4, 286(12%)
minecraft.crafted.waxed_exposed_copper_trapdoor: #3, 82(11%)
minecraft.picked_up.jungle_fence: #4, 138(12%)
