stat, rank, value, (percentage) 
minecraft.used.pink_candle: #5, 14(4%)
minecraft.mined.jungle_slab: #6, 77(6%)
minecraft.picked_up.polished_blackstone_brick_slab: #5, 14(5%)
minecraft.mined.lapis_block: #5, 33(3%)
minecraft.used.raw_iron_block: #5, 57(3%)
minecraft.mined.tall_seagrass: #6, 323(5%)
minecraft.picked_up.snort_pottery_sherd: #5, 2(6%)
minecraft.used.cherry_fence: #5, 21(3%)
minecraft.mined.prismarine: #5, 213(2%)
minecraft.mined.trapped_chest: #5, 1(6%)
minecraft.used.red_sandstone: #5, 44(3%)
minecraft.mined.jungle_stairs: #6, 51(6%)
minecraft.picked_up.trapped_chest: #5, 1(5%)
minecraft.picked_up.bucket: #6, 195(5%)
minecraft.picked_up.name_tag: #6, 53(5%)
minecraft.mined.polished_blackstone_brick_slab: #5, 13(4%)
minecraft.used.horn_coral_fan: #5, 13(3%)
minecraft.mined.cyan_wall_banner: #5, 2(4%)
minecraft.picked_up.skull_pottery_sherd: #5, 2(4%)
minecraft.mined.mangrove_leaves: #6, 9230(5%)
minecraft.picked_up.green_concrete_powder: #6, 82(8%)
minecraft.used.trapped_chest: #5, 2(3%)
minecraft.dropped.nether_bricks: #5, 16(3%)
minecraft.crafted.blue_banner: #5, 5(2%)
minecraft.dropped.bucket: #6, 105(5%)
minecraft.used.magenta_bed: #5, 3(4%)
minecraft.used.polished_tuff_slab: #6, 894(5%)
minecraft.mined.pink_banner: #5, 1(3%)
minecraft.crafted.polished_deepslate: #6, 2116(5%)
minecraft.used.gray_shulker_box: #6, 287(5%)
minecraft.crafted.green_bed: #5, 5(3%)
minecraft.used.gunpowder: #6, 28(5%)
minecraft.used.jungle_stairs: #6, 184(6%)
minecraft.used.oak_planks: #6, 684(5%)
