stat, rank, value, (percentage) 
minecraft.mined.green_shulker_box: #3, 468(11%)
minecraft.used.mud_brick_wall: #2, 1047(10%)
minecraft.used.clay: #3, 1135(13%)
minecraft.picked_up.golden_apple: #3, 107(12%)
minecraft.mined.pink_stained_glass: #2, 56(18%)
minecraft.picked_up.ward_armor_trim_smithing_template: #2, 6(23%)
minecraft.used.acacia_slab: #3, 827(18%)
minecraft.picked_up.heart_of_the_sea: #2, 8(23%)
minecraft.crafted.polished_granite: #3, 1780(13%)
minecraft.picked_up.iron_horse_armor: #2, 8(12%)
minecraft.used.birch_stairs: #3, 384(18%)
minecraft.mined.dark_prismarine: #3, 446(17%)
minecraft.dropped.acacia_stairs: #2, 33(26%)
minecraft.used.trial_key: #3, 119(13%)
minecraft.mined.orange_concrete: #2, 1748(12%)
minecraft.used.chipped_anvil: #3, 35(12%)
minecraft.mined.rooted_dirt: #2, 1418(8%)
minecraft.used.green_shulker_box: #3, 466(11%)
minecraft.dropped.torchflower_seeds: #2, 266(13%)
minecraft.mined.cave_vines: #3, 97(12%)
minecraft.mined.yellow_glazed_terracotta: #2, 47(20%)
minecraft.dropped.deepslate_redstone_ore: #3, 128(17%)
minecraft.picked_up.brush: #2, 7(19%)
minecraft.picked_up.music_disc_strad: #2, 14(22%)
minecraft.custom.interact_with_campfire: #3, 1660(11%)
minecraft.used.smooth_sandstone_slab: #2, 725(12%)
minecraft.picked_up.prismarine: #3, 2115(15%)
minecraft.dropped.waxed_copper_bulb: #2, 9(17%)
minecraft.mined.orange_tulip: #3, 199(13%)
minecraft.picked_up.dragon_head: #3, 47(12%)
minecraft.mined.pink_terracotta: #2, 270(14%)
minecraft.mined.mud_brick_wall: #3, 133(15%)
minecraft.crafted.birch_stairs: #3, 452(17%)
minecraft.picked_up.blaze_powder: #3, 54(15%)
minecraft.dropped.acacia_sign: #2, 6(19%)
minecraft.picked_up.bamboo_mosaic_slab: #2, 46(24%)
minecraft.dropped.magenta_dye: #2, 77(8%)
minecraft.used.potato: #3, 1004(11%)
