stat, rank, value, (percentage) 
minecraft.used.golden_carrot: #4, 5039(9%)
minecraft.mined.mycelium: #2, 3830(16%)
minecraft.picked_up.stone_brick_wall: #3, 246(14%)
minecraft.mined.dark_oak_door: #2, 11(12%)
minecraft.used.light_blue_bed: #2, 33(17%)
minecraft.picked_up.jungle_wood: #2, 59(23%)
minecraft.custom.eat_cake_slice: #2, 22(10%)
minecraft.picked_up.jungle_slab: #2, 279(14%)
minecraft.dropped.tube_coral_block: #1, 200(100%)
minecraft.dropped.rabbit_stew: #1, 1(20%)
minecraft.mined.pink_stained_glass_pane: #1, 5(100%)
minecraft.crafted.pink_tulip: #1, 12(50%)
minecraft.crafted.red_tulip: #1, 12(50%)
minecraft.crafted.tropical_fish_bucket: #1, 4(100%)
minecraft.crafted.red_mushroom: #1, 12(100%)
minecraft.picked_up.beetroot_soup: #1, 1(50%)
minecraft.broken.diamond_leggings: #1, 1(33%)
minecraft.used.magenta_concrete: #2, 239(22%)
minecraft.picked_up.birch_slab: #2, 223(9%)
minecraft.used.jungle_fence: #2, 212(20%)
minecraft.used.red_dye: #2, 59(11%)
minecraft.crafted.acacia_stairs: #3, 228(25%)
minecraft.mined.white_candle: #2, 12(24%)
minecraft.used.map: #3, 97(14%)
minecraft.picked_up.mangrove_leaves: #3, 9263(15%)
minecraft.used.jungle_log: #3, 1015(13%)
minecraft.crafted.acacia_slab: #3, 420(15%)
minecraft.crafted.smooth_red_sandstone_slab: #2, 130(27%)
minecraft.custom.crouch_one_cm: #4, 54926932(8%)
minecraft.dropped.lime_terracotta: #2, 154(15%)
minecraft.picked_up.red_dye: #3, 453(14%)
minecraft.picked_up.cut_copper: #3, 111(14%)
minecraft.crafted.orange_shulker_box: #3, 26(14%)
minecraft.picked_up.skeleton_skull: #2, 12(26%)
minecraft.used.music_disc_chirp: #2, 16(23%)
minecraft.picked_up.grindstone: #3, 120(11%)
minecraft.killed_by.warden: #3, 31(12%)
minecraft.picked_up.black_dye: #3, 494(14%)
minecraft.mined.light_blue_terracotta: #2, 554(15%)
minecraft.killed.dolphin: #2, 5(25%)
minecraft.used.netherite_helmet: #2, 50(16%)
minecraft.picked_up.crimson_hyphae: #2, 1029(16%)
minecraft.used.dried_kelp_block: #2, 90(17%)
minecraft.crafted.prismarine_wall: #2, 53(17%)
minecraft.picked_up.magenta_stained_glass: #3, 325(14%)
minecraft.crafted.packed_mud: #3, 3918(13%)
minecraft.mined.lime_stained_glass: #3, 514(17%)
minecraft.picked_up.stone_stairs: #2, 401(7%)
minecraft.crafted.brown_banner: #2, 13(21%)
minecraft.crafted.spyglass: #3, 14(20%)
minecraft.used.jungle_pressure_plate: #2, 6(27%)
minecraft.picked_up.red_wool: #3, 1290(11%)
minecraft.picked_up.warped_sign: #3, 71(13%)
