stat, rank, value, (percentage) 
minecraft.crafted.amethyst_block: #1, 1908(32%)
minecraft.mined.fletching_table: #1, 50(38%)
minecraft.dropped.andesite: #2, 4042(18%)
minecraft.used.writable_book: #2, 965(14%)
minecraft.dropped.wet_sponge: #1, 106(63%)
minecraft.picked_up.fletching_table: #1, 50(38%)
minecraft.dropped.birch_boat: #1, 10(42%)
minecraft.mined.black_stained_glass_pane: #1, 128(27%)
minecraft.mined.deepslate_bricks: #2, 2729(18%)
minecraft.picked_up.disc_fragment_5: #1, 109(53%)
minecraft.mined.light_gray_candle: #1, 28(74%)
minecraft.crafted.light_blue_dye: #2, 3355(17%)
minecraft.used.smoker: #1, 37(22%)
minecraft.mined.end_stone_brick_stairs: #1, 30(61%)
minecraft.used.light_gray_candle: #1, 84(46%)
minecraft.mined.lectern: #2, 1584(18%)
minecraft.used.porkchop: #1, 34(40%)
minecraft.picked_up.diamond_horse_armor: #1, 18(28%)
minecraft.mined.smoker: #1, 32(36%)
minecraft.dropped.white_banner: #2, 1611(24%)
minecraft.dropped.oak_sapling: #2, 518(17%)
minecraft.killed.phantom: #2, 163(17%)
minecraft.used.light_blue_carpet: #2, 8622(46%)
minecraft.crafted.crafting_table: #1, 289(9%)
minecraft.dropped.spruce_planks: #1, 497(14%)
minecraft.dropped.chorus_fruit: #2, 627(22%)
minecraft.used.netherite_pickaxe: #2, 1063414(19%)
minecraft.mined.bubble_coral_wall_fan: #2, 502(24%)
minecraft.dropped.quartz_bricks: #1, 18(44%)
minecraft.crafted.diamond: #2, 5481(15%)
minecraft.mined.stone_brick_wall: #1, 113(16%)
minecraft.used.purple_concrete: #2, 2682(35%)
minecraft.dropped.yellow_terracotta: #2, 166(30%)
minecraft.mined.spawner: #1, 47(32%)
minecraft.picked_up.amethyst_block: #1, 3502(14%)
minecraft.used.lectern: #2, 1617(17%)
minecraft.used.piston: #2, 2712(17%)
minecraft.picked_up.dark_oak_sign: #2, 183(16%)
minecraft.dropped.string: #3, 14274(19%)
minecraft.dropped.birch_sapling: #2, 335(17%)
minecraft.killed_by.piglin_brute: #1, 11(69%)
minecraft.dropped.baked_potato: #2, 89(30%)
minecraft.crafted.mangrove_sign: #1, 117(25%)
minecraft.dropped.prismarine: #1, 328(26%)
minecraft.mined.cobblestone_stairs: #2, 247(19%)
minecraft.dropped.gray_banner: #1, 24(86%)
minecraft.crafted.chainmail_helmet: #1, 25(57%)
minecraft.used.lime_candle: #1, 97(56%)
minecraft.dropped.cobblestone_slab: #2, 517(24%)
minecraft.picked_up.writable_book: #1, 38(12%)
minecraft.crafted.rabbit_stew: #1, 36(48%)
minecraft.picked_up.gray_stained_glass_pane: #1, 268(24%)
minecraft.dropped.ender_eye: #1, 36(84%)
