stat, rank, value, (percentage) 
minecraft.killed.axolotl: #4, 3(0%)
minecraft.mined.wither_rose: #4, 1(0%)
minecraft.used.brown_wool: #5, 412(8%)
minecraft.picked_up.granite_stairs: #5, 12(10%)
minecraft.mined.stripped_warped_stem: #5, 744(4%)
minecraft.used.coarse_dirt: #5, 1627(3%)
minecraft.used.mossy_cobblestone_slab: #5, 150(5%)
minecraft.picked_up.ender_chest: #6, 1096(6%)
minecraft.picked_up.crimson_stairs: #5, 39(7%)
minecraft.dropped.repeater: #5, 58(6%)
minecraft.picked_up.purple_terracotta: #5, 207(6%)
minecraft.dropped.flower_pot: #5, 22(7%)
minecraft.crafted.hay_block: #5, 677(4%)
minecraft.dropped.dirt: #6, 4949(6%)
minecraft.used.magenta_shulker_box: #5, 102(4%)
minecraft.crafted.jungle_fence: #5, 114(7%)
minecraft.mined.verdant_froglight: #5, 85(4%)
minecraft.used.nether_brick_stairs: #5, 57(8%)
minecraft.mined.warped_sign: #5, 3(8%)
minecraft.dropped.snow_block: #5, 742(3%)
minecraft.mined.yellow_glazed_terracotta: #5, 14(7%)
minecraft.picked_up.magenta_shulker_box: #5, 102(4%)
minecraft.picked_up.leather: #6, 1222(5%)
minecraft.picked_up.moss_block: #6, 7659(5%)
minecraft.mined.magenta_shulker_box: #5, 101(4%)
minecraft.picked_up.cyan_stained_glass_pane: #5, 20(6%)
minecraft.used.dragon_head: #5, 3(6%)
minecraft.used.verdant_froglight: #5, 249(3%)
minecraft.picked_up.stripped_birch_log: #5, 200(2%)
minecraft.mined.scaffolding: #6, 6410(7%)
minecraft.used.horn_coral_fan: #5, 10(5%)
minecraft.used.polished_basalt: #5, 850(3%)
minecraft.mined.skeleton_skull: #5, 4(10%)
minecraft.mined.jungle_fence: #5, 7(6%)
minecraft.picked_up.skeleton_skull: #5, 4(9%)
minecraft.dropped.stripped_birch_log: #5, 7(6%)
minecraft.custom.interact_with_loom: #6, 48(6%)
minecraft.dropped.blue_concrete_powder: #5, 16(6%)
minecraft.used.stone_brick_wall: #6, 577(7%)
minecraft.crafted.green_bed: #5, 2(4%)
minecraft.picked_up.spruce_hanging_sign: #5, 3(7%)
minecraft.picked_up.jungle_door: #5, 4(6%)
minecraft.crafted.yellow_banner: #5, 24(5%)
minecraft.mined.stripped_jungle_log: #5, 118(3%)
minecraft.mined.acacia_slab: #5, 13(5%)
minecraft.mined.prismarine_wall: #5, 2(6%)
minecraft.crafted.spruce_hanging_sign: #5, 6(6%)
minecraft.used.light_gray_terracotta: #5, 230(2%)
minecraft.crafted.copper_ingot: #6, 4660(6%)
minecraft.mined.dark_oak_pressure_plate: #5, 1(8%)
minecraft.picked_up.recovery_compass: #5, 1(8%)
minecraft.used.blast_furnace: #6, 64(6%)
minecraft.crafted.wild_armor_trim_smithing_template: #5, 2(9%)
minecraft.picked_up.magenta_terracotta: #5, 78(4%)
minecraft.custom.sleep_in_bed: #7, 2187(5%)
