stat, rank, value, (percentage) 
minecraft.used.quartz_bricks: #3, 356(16%)
minecraft.used.diamond_axe: #4, 114052(9%)
minecraft.picked_up.blue_candle: #2, 22(18%)
minecraft.picked_up.pitcher_plant: #3, 49(18%)
minecraft.picked_up.light_blue_wool: #3, 855(11%)
minecraft.crafted.purpur_stairs: #2, 20(16%)
minecraft.picked_up.spruce_slab: #3, 1041(8%)
minecraft.mined.blue_stained_glass_pane: #2, 5(16%)
minecraft.mined.potted_bamboo: #2, 2(25%)
minecraft.picked_up.quartz_pillar: #3, 327(10%)
minecraft.mined.redstone_ore: #3, 149(9%)
minecraft.picked_up.iron_block: #3, 3462(8%)
minecraft.mined.granite_slab: #3, 172(14%)
minecraft.picked_up.oak_slab: #3, 234(8%)
minecraft.used.orange_candle: #2, 42(17%)
minecraft.used.dark_oak_planks: #4, 3462(11%)
minecraft.used.quartz_pillar: #3, 1073(10%)
minecraft.picked_up.damaged_anvil: #3, 21(9%)
minecraft.picked_up.quartz_bricks: #3, 64(9%)
minecraft.dropped.chainmail_helmet: #3, 17(13%)
minecraft.dropped.pink_petals: #3, 65(20%)
minecraft.crafted.purple_wool: #3, 310(21%)
minecraft.picked_up.purpur_block: #3, 453(10%)
minecraft.mined.mangrove_fence_gate: #2, 4(29%)
minecraft.used.flower_pot: #3, 165(8%)
minecraft.used.exposed_cut_copper: #2, 8(10%)
minecraft.used.furnace: #3, 294(6%)
minecraft.mined.black_banner: #2, 3(14%)
