stat, rank, value, (percentage) 
minecraft.mined.pink_stained_glass: #2, 74(18%)
minecraft.crafted.netherite_leggings: #2, 9(24%)
minecraft.picked_up.bread: #2, 1256(11%)
minecraft.mined.magenta_wool: #2, 64(20%)
minecraft.mined.soul_fire: #3, 162(20%)
minecraft.used.diamond_block: #3, 555(13%)
minecraft.mined.acacia_stairs: #2, 36(33%)
minecraft.crafted.white_terracotta: #3, 2112(17%)
minecraft.crafted.magenta_terracotta: #2, 2228(13%)
minecraft.used.mangrove_sign: #2, 61(13%)
minecraft.picked_up.dark_oak_hanging_sign: #1, 6(32%)
minecraft.mined.waxed_exposed_cut_copper_slab: #2, 58(21%)
minecraft.picked_up.redstone_lamp: #2, 148(9%)
minecraft.crafted.cooked_rabbit: #2, 30(45%)
minecraft.used.warped_stem: #3, 6059(15%)
minecraft.crafted.target: #3, 461(15%)
minecraft.mined.chiseled_polished_blackstone: #2, 64(16%)
minecraft.crafted.iron_door: #3, 84(13%)
minecraft.picked_up.warped_planks: #3, 1430(12%)
minecraft.dropped.deepslate_gold_ore: #2, 64(20%)
minecraft.dropped.lime_dye: #2, 128(27%)
minecraft.crafted.gray_banner: #2, 51(20%)
minecraft.used.warped_wart_block: #3, 2714(15%)
minecraft.crafted.white_banner: #2, 206(13%)
minecraft.crafted.rabbit_stew: #2, 23(31%)
minecraft.mined.andesite_wall: #2, 161(14%)
minecraft.dropped.yellow_concrete: #2, 43(30%)
minecraft.mined.fletching_table: #2, 28(21%)
minecraft.picked_up.waxed_cut_copper_stairs: #2, 41(23%)
minecraft.picked_up.fletching_table: #2, 28(21%)
minecraft.crafted.light_gray_wool: #2, 729(11%)
minecraft.mined.birch_fence_gate: #2, 24(15%)
minecraft.used.deepslate_tile_stairs: #3, 1714(13%)
minecraft.dropped.gray_stained_glass: #2, 75(23%)
minecraft.picked_up.polished_basalt: #3, 1095(13%)
minecraft.mined.sea_lantern: #3, 257(13%)
minecraft.crafted.light_gray_carpet: #3, 1401(15%)
minecraft.crafted.iron_nugget: #2, 25102(7%)
minecraft.picked_up.glass_bottle: #4, 2549(13%)
minecraft.used.iron_trapdoor: #3, 766(13%)
minecraft.mined.water_cauldron: #2, 27(16%)
minecraft.used.iron_axe: #3, 3490(10%)
minecraft.mined.waxed_oxidized_cut_copper: #2, 32(34%)
minecraft.mined.red_concrete_powder: #2, 189(14%)
minecraft.used.fishing_rod: #2, 315(10%)
minecraft.used.gray_dye: #2, 9(25%)
minecraft.dropped.end_crystal: #1, 1(100%)
minecraft.dropped.tnt_minecart: #1, 3(100%)
minecraft.mined.reinforced_deepslate: #1, 1(100%)
minecraft.mined.purple_banner: #1, 2(100%)
