stat, rank, value, (percentage) 
minecraft.crafted.polished_blackstone_brick_wall: #4, 183(12%)
minecraft.crafted.oak_fence: #4, 951(6%)
minecraft.picked_up.warped_door: #4, 7(11%)
minecraft.picked_up.black_stained_glass: #5, 934(11%)
minecraft.dropped.iron_ingot: #4, 2227(5%)
minecraft.picked_up.bone: #4, 6030(5%)
minecraft.dropped.black_banner: #3, 16(2%)
minecraft.dropped.wither_skeleton_skull: #3, 4(4%)
minecraft.mined.cyan_banner: #3, 2(9%)
minecraft.crafted.cyan_shulker_box: #4, 12(8%)
minecraft.dropped.iron_horse_armor: #3, 1(6%)
minecraft.picked_up.spruce_door: #5, 57(10%)
minecraft.crafted.granite_wall: #3, 45(3%)
minecraft.crafted.netherite_sword: #4, 2(10%)
minecraft.picked_up.acacia_boat: #4, 10(9%)
minecraft.picked_up.andesite_stairs: #4, 204(7%)
minecraft.mined.dead_fire_coral_block: #3, 1(4%)
minecraft.picked_up.glass_pane: #4, 339(5%)
minecraft.mined.spruce_log: #5, 12059(9%)
minecraft.crafted.soul_torch: #4, 576(6%)
minecraft.mined.polished_blackstone_stairs: #5, 209(10%)
minecraft.used.brown_banner: #4, 18(15%)
minecraft.mined.black_concrete_powder: #4, 333(5%)
minecraft.used.acacia_boat: #4, 10(8%)
minecraft.used.smooth_quartz_stairs: #5, 1878(10%)
minecraft.used.andesite_wall: #4, 649(6%)
minecraft.crafted.nether_brick_wall: #4, 402(8%)
minecraft.crafted.prismarine: #3, 64(0%)
minecraft.used.polished_basalt: #5, 2629(9%)
minecraft.picked_up.green_terracotta: #4, 166(5%)
minecraft.used.coal_block: #4, 254(5%)
minecraft.crafted.spruce_planks: #5, 47900(8%)
minecraft.picked_up.warped_slab: #5, 144(10%)
minecraft.mined.acacia_sapling: #4, 27(8%)
minecraft.used.polished_blackstone_slab: #5, 3605(9%)
minecraft.crafted.spruce_stairs: #5, 1116(8%)
minecraft.mined.beacon: #5, 83(8%)
minecraft.mined.crimson_roots: #5, 304(8%)
minecraft.crafted.repeater: #5, 1295(8%)
minecraft.killed.elder_guardian: #4, 6(9%)
minecraft.mined.gray_concrete: #5, 15463(8%)
minecraft.crafted.redstone_block: #5, 3942(8%)
minecraft.picked_up.polished_granite_stairs: #4, 20(8%)
minecraft.used.poisonous_potato: #4, 1(9%)
minecraft.dropped.warped_fungus: #4, 32(5%)
minecraft.dropped.granite: #5, 4521(8%)
minecraft.used.horn_coral_block: #4, 14(7%)
minecraft.mined.orange_stained_glass: #4, 219(6%)
minecraft.mined.dark_oak_trapdoor: #5, 256(8%)
minecraft.dropped.splash_potion: #4, 46(5%)
minecraft.mined.smooth_quartz_stairs: #5, 383(8%)
minecraft.mined.basalt: #5, 14504(7%)
minecraft.used.podzol: #4, 1594(4%)
minecraft.custom.use_cauldron: #4, 9(7%)
minecraft.dropped.stone: #5, 22708(7%)
minecraft.crafted.orange_concrete_powder: #5, 2560(10%)
minecraft.used.granite_wall: #4, 222(8%)
minecraft.dropped.cartography_table: #4, 1(17%)
minecraft.dropped.netherite_ingot: #4, 6(7%)
minecraft.dropped.stone_stairs: #4, 170(4%)
minecraft.picked_up.smooth_quartz_stairs: #5, 420(8%)
minecraft.dropped.dandelion: #4, 148(3%)
minecraft.picked_up.polished_granite_slab: #4, 31(5%)
minecraft.mined.polished_granite_stairs: #4, 12(6%)
minecraft.used.brain_coral_block: #4, 17(6%)
minecraft.mined.stripped_spruce_log: #5, 246(7%)
minecraft.used.nether_brick_wall: #5, 470(11%)
minecraft.mined.blue_stained_glass_pane: #4, 14(7%)
minecraft.used.white_concrete: #5, 18809(6%)
minecraft.used.coal_ore: #5, 3392(7%)
minecraft.used.spruce_fence: #5, 1577(7%)
