stat, rank, value, (percentage) 
minecraft.picked_up.brown_terracotta: #3, 5691(17%)
minecraft.picked_up.stone_slab: #2, 2977(9%)
minecraft.mined.stone_stairs: #2, 302(9%)
minecraft.used.gray_stained_glass: #2, 5443(14%)
minecraft.dropped.golden_helmet: #2, 34(9%)
minecraft.picked_up.lilac: #2, 374(9%)
minecraft.crafted.crimson_planks: #2, 4848(10%)
minecraft.picked_up.bricks: #2, 1802(13%)
minecraft.used.glowstone: #3, 2616(13%)
minecraft.picked_up.end_rod: #2, 1543(9%)
minecraft.dropped.peony: #2, 17(14%)
minecraft.used.large_fern: #1, 1(100%)
minecraft.used.music_disc_mall: #1, 1(20%)
minecraft.used.air: #1, 1(100%)
minecraft.crafted.leather: #1, 2(100%)
minecraft.dropped.furnace_minecart: #1, 1(100%)
minecraft.picked_up.large_fern: #1, 2(100%)
minecraft.broken.crossbow: #1, 1(100%)
minecraft.killed_by.blaze: #1, 1(50%)
minecraft.mined.creeper_head: #1, 1(50%)
minecraft.killed.fox: #1, 1(33%)
minecraft.dropped.music_disc_ward: #1, 1(33%)
minecraft.dropped.netherite_shovel: #2, 8(12%)
minecraft.crafted.glowstone: #3, 5692(14%)
minecraft.mined.gray_concrete_powder: #3, 1104(13%)
minecraft.picked_up.polished_granite_slab: #2, 104(16%)
minecraft.picked_up.warped_stem: #3, 5734(13%)
minecraft.custom.deaths: #3, 341(10%)
minecraft.mined.potted_bamboo: #2, 8(19%)
minecraft.picked_up.cyan_terracotta: #3, 8079(13%)
minecraft.used.red_sand: #3, 7424(15%)
minecraft.dropped.dark_prismarine: #2, 244(16%)
minecraft.crafted.furnace_minecart: #2, 9(31%)
minecraft.picked_up.spruce_sapling: #3, 2176(12%)
minecraft.picked_up.polished_andesite: #3, 2863(12%)
minecraft.dropped.spruce_sign: #2, 161(10%)
minecraft.dropped.grindstone: #2, 46(15%)
minecraft.crafted.white_wool: #2, 3474(10%)
minecraft.mined.emerald_ore: #2, 66(13%)
minecraft.crafted.rail: #3, 4299(12%)
minecraft.picked_up.cod: #2, 2661(7%)
minecraft.picked_up.cyan_dye: #2, 754(13%)
minecraft.picked_up.chicken: #4, 1022(16%)
minecraft.crafted.filled_map: #3, 456(15%)
minecraft.dropped.yellow_terracotta: #2, 159(12%)
