stat, rank, value, (percentage) 
minecraft.crafted.pink_bed: #4, 10(5%)
minecraft.crafted.golden_helmet: #5, 11(8%)
minecraft.crafted.black_stained_glass_pane: #5, 1824(9%)
minecraft.crafted.wheat: #5, 1899(8%)
minecraft.used.chiseled_sandstone: #4, 417(5%)
minecraft.picked_up.acacia_fence: #4, 15(5%)
minecraft.crafted.yellow_terracotta: #4, 472(6%)
minecraft.mined.green_glazed_terracotta: #4, 8(12%)
minecraft.picked_up.painting: #5, 257(7%)
minecraft.used.cooked_rabbit: #4, 6(9%)
minecraft.mined.jungle_fence_gate: #4, 15(5%)
minecraft.used.magenta_stained_glass: #4, 71(4%)
minecraft.crafted.magenta_stained_glass: #4, 136(5%)
minecraft.used.tube_coral: #4, 3(8%)
minecraft.used.oak_planks: #5, 1122(7%)
minecraft.mined.pink_concrete_powder: #4, 7(7%)
