stat, rank, value, (percentage) 
minecraft.crafted.brown_stained_glass: #4, 320(8%)
minecraft.dropped.fire_charge: #4, 80(9%)
minecraft.crafted.sea_lantern: #3, 265(0%)
minecraft.used.obsidian: #4, 1489(4%)
minecraft.picked_up.lime_glazed_terracotta: #4, 21(20%)
minecraft.used.prismarine: #4, 2113(6%)
minecraft.picked_up.poppy: #5, 4077(8%)
minecraft.crafted.cyan_banner: #4, 20(9%)
minecraft.crafted.cooked_beef: #5, 1297(8%)
minecraft.dropped.dried_kelp_block: #3, 1(0%)
minecraft.crafted.flower_banner_pattern: #4, 1(20%)
minecraft.dropped.polished_blackstone_button: #4, 43(14%)
minecraft.mined.sand: #5, 164898(8%)
minecraft.crafted.quartz_slab: #4, 1264(5%)
minecraft.mined.warped_stem: #5, 3361(9%)
minecraft.killed.pufferfish: #4, 19(6%)
minecraft.used.lily_of_the_valley: #4, 13(8%)
minecraft.dropped.prismarine: #4, 66(9%)
minecraft.dropped.diamond_hoe: #4, 3(6%)
minecraft.picked_up.oak_door: #5, 52(9%)
minecraft.crafted.polished_andesite: #5, 7884(8%)
minecraft.mined.infested_cracked_stone_bricks: #4, 1(14%)
minecraft.mined.warped_nylium: #5, 708(8%)
minecraft.picked_up.twisting_vines: #5, 286(9%)
minecraft.used.brain_coral_fan: #4, 15(7%)
minecraft.crafted.polished_blackstone_slab: #5, 2196(10%)
minecraft.broken.iron_axe: #5, 11(9%)
minecraft.crafted.map: #4, 139(4%)
minecraft.dropped.polished_blackstone: #4, 35(6%)
minecraft.picked_up.sand: #5, 170430(7%)
minecraft.crafted.polished_blackstone_pressure_plate: #4, 62(6%)
minecraft.crafted.crimson_sign: #4, 24(5%)
minecraft.picked_up.carrot: #5, 8796(7%)
minecraft.mined.furnace: #5, 250(7%)
minecraft.crafted.acacia_fence_gate: #4, 39(9%)
minecraft.used.polished_andesite: #5, 6512(8%)
minecraft.mined.soul_lantern: #5, 45(8%)
minecraft.crafted.cut_red_sandstone: #4, 64(11%)
minecraft.dropped.yellow_concrete: #4, 55(7%)
minecraft.used.oak_boat: #5, 102(7%)
minecraft.picked_up.oak_boat: #5, 102(7%)
minecraft.picked_up.black_carpet: #4, 3967(3%)
minecraft.picked_up.orange_dye: #4, 132(5%)
minecraft.used.lily_pad: #5, 16(12%)
minecraft.used.cooked_cod: #4, 63(4%)
minecraft.picked_up.charcoal: #5, 77(8%)
minecraft.crafted.green_dye: #5, 1361(8%)
minecraft.picked_up.red_glazed_terracotta: #4, 127(10%)
minecraft.killed_by.phantom: #4, 1(10%)
minecraft.used.warped_fungus: #4, 286(4%)
minecraft.dropped.light_blue_banner: #4, 2(13%)
minecraft.mined.light_gray_wool: #4, 117(4%)
minecraft.dropped.smooth_stone: #5, 244(8%)
minecraft.picked_up.iron_leggings: #5, 15(7%)
minecraft.picked_up.blue_stained_glass_pane: #4, 16(8%)
minecraft.picked_up.purple_concrete: #5, 344(8%)
minecraft.picked_up.purpur_slab: #5, 93(8%)
minecraft.used.green_concrete: #5, 924(9%)
minecraft.crafted.black_bed: #4, 7(6%)
minecraft.picked_up.leather_helmet: #5, 102(7%)
minecraft.mined.smooth_red_sandstone_stairs: #4, 12(8%)
minecraft.custom.interact_with_loom: #5, 67(7%)
minecraft.dropped.daylight_detector: #4, 1(14%)
minecraft.picked_up.basalt: #5, 8557(7%)
minecraft.mined.oak_sign: #5, 45(7%)
minecraft.crafted.smooth_stone_slab: #5, 8022(7%)
minecraft.picked_up.paper: #4, 3110(2%)
minecraft.crafted.red_glazed_terracotta: #4, 128(8%)
minecraft.dropped.white_dye: #4, 170(3%)
