stat, rank, value, (percentage) 
minecraft.picked_up.tube_coral_fan: #11, 1(0%)
minecraft.mined.emerald_block: #11, 1(0%)
minecraft.used.emerald_block: #11, 1(0%)
minecraft.picked_up.emerald_block: #11, 1(0%)
minecraft.used.smooth_quartz_stairs: #11, 1(0%)
minecraft.crafted.lapis_block: #12, 105(2%)
minecraft.crafted.diamond_sword: #12, 2(2%)
minecraft.used.granite: #12, 400(2%)
minecraft.crafted.iron_hoe: #12, 1(3%)
minecraft.picked_up.weeping_vines: #12, 21(2%)
minecraft.picked_up.end_rod: #12, 95(2%)
minecraft.mined.warped_nylium: #12, 34(2%)
minecraft.used.dark_oak_boat: #12, 7(2%)
minecraft.mined.scaffolding: #12, 659(2%)
minecraft.crafted.sticky_piston: #12, 44(2%)
minecraft.used.cobbled_deepslate: #12, 411(1%)
minecraft.crafted.golden_helmet: #12, 1(2%)
minecraft.picked_up.ancient_debris: #12, 19(2%)
minecraft.picked_up.nether_quartz_ore: #12, 131(1%)
minecraft.picked_up.deepslate_tile_wall: #12, 20(2%)
minecraft.crafted.bread: #12, 154(1%)
minecraft.killed.shulker: #12, 42(1%)
minecraft.picked_up.andesite_slab: #12, 11(1%)
minecraft.used.ender_pearl: #12, 78(1%)
minecraft.used.diamond_helmet: #12, 1(2%)
minecraft.crafted.netherite_ingot: #12, 4(1%)
minecraft.picked_up.terracotta: #12, 1528(1%)
minecraft.crafted.charcoal: #12, 11(1%)
minecraft.dropped.stone_pickaxe: #12, 1(1%)
minecraft.mined.end_stone_bricks: #12, 8(1%)
minecraft.crafted.smoker: #12, 1(1%)
minecraft.picked_up.oak_button: #12, 1(1%)
minecraft.picked_up.chicken: #12, 11(1%)
minecraft.crafted.spruce_pressure_plate: #12, 1(1%)
minecraft.dropped.iron_nugget: #12, 23(1%)
minecraft.used.spruce_sign: #12, 22(1%)
minecraft.mined.chorus_plant: #12, 4(1%)
minecraft.crafted.polished_deepslate_stairs: #12, 14(1%)
minecraft.mined.polished_blackstone_button: #12, 2(1%)
minecraft.picked_up.twisting_vines: #12, 34(1%)
minecraft.used.brown_wool: #12, 6(1%)
minecraft.picked_up.seagrass: #12, 10(1%)
minecraft.used.exposed_copper: #12, 2(1%)
minecraft.used.terracotta: #12, 24(0%)
minecraft.dropped.phantom_membrane: #12, 1(0%)
minecraft.picked_up.beetroot_seeds: #12, 18(0%)
minecraft.used.polished_blackstone_wall: #12, 3(0%)
minecraft.crafted.emerald_block: #12, 16(0%)
minecraft.used.glow_lichen: #12, 41(0%)
minecraft.mined.black_shulker_box: #12, 1(0%)
minecraft.used.black_shulker_box: #12, 1(0%)
minecraft.crafted.gold_nugget: #12, 54(0%)
minecraft.picked_up.spectral_arrow: #12, 9(0%)
minecraft.crafted.birch_trapdoor: #12, 2(0%)
